Fund Custody Code / SARA code;CashFlow Type Id;CashFlow Type Description;Account Currency(ISO);Confirmed Amount Local ccy;Confirmed Amount Fund ccy;Projected Amount Local ccy;Projected Amount Fund ccy;Trade Date;Creation Date;Settlement Date;ReportDate;MF code;Fund Manager Identifier;Fund Administration Code;Fund name;External Fund Reference
73S;TA;SHS Net Inflow/Outflow;EUR;-184517.42;-184517.42;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB2376;Z8719429;SCA;CHALLENGE SOLIDITY AND RETURN S;DB2376Z8719429
74S;TA;SHS Net Inflow/Outflow;EUR;-167726.39;-167726.39;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB2376;Z8719429;SDI;CHALLENGE SOLIDITY AND RETURN S B UNI;DB2376Z8719429
80S;TA;SHS Net Inflow/Outflow;EUR;9990;9990;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB8812;Z8719429;SHC;CHALLENGE North American Equity Fund S Hedged;DB8812Z8719429
81S;TA;SHS Net Inflow/Outflow;EUR;14718.33;14718.33;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB8813;Z8719429;SHC;CHALLENGE European Equity Fund S Hedged;DB8813Z8719429
82S;TA;SHS Net Inflow/Outflow;EUR;-13430.63;-13430.63;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB8814;Z8719429;SHC;CHALLENGE Pacific Equity Fund S Hedged;DB8814Z8719429
84S;TA;SHS Net Inflow/Outflow;EUR;18031.65;18031.65;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB5199;Z8719429;SDI;CHALLENGE International Income Fund S - B Units;DB5199Z9397076
85S;TA;SHS Net Inflow/Outflow;EUR;-1005;-1005;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB5200;Z8719429;SCA;CHALLENGE International Bond Fund S - A Units;DB5200Z9397076
86S;TA;SHS Net Inflow/Outflow;EUR;24864.25;24864.25;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB5200;Z8719429;SDI;CHALLENGE International Bond Fund S - B Units;DB5200Z9397076
87S;TA;SHS Net Inflow/Outflow;EUR;15851.66;15851.66;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB4223;Z8719429;SHC;CHALLENGE International Equity Fund S Hedged;DB4223Z8719429
89G;TA;SHS Net Inflow/Outflow;EUR;3563.64;3563.64;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB4210;Z8719429;LHC;DYNAMIC COLLECTION L FD A HEDG;DB4210Z8719429
