C Id Isin;Consolidated;Fund Code;Fund name;Date Nav;Code Share;Outstanding;Nav Net;Quantity Outstanding;Price Share;NAV PREC;AGE_VAR_NAV PERC;P SHARE IN ITL;C Ccy;H Valid;ZWIST J;A Actual Zwist;C N Id;Income Equalization (code 1 or 2 or 3)
IE00BYZ2YB75;DB3012;DB6342;DYNAMIC INTERNATIONAL VALUE OPPORTUNITY;20-SEP-2021;LHC;233520021.00;1090781281.27;38696365.523;6.035;6.072;-0.01;;EUR;0920174141;;;244211000000;1
IE00BYZ2YC82;DB3012;DB6342;DYNAMIC INTERNATIONAL VALUE OPPORTUNITY;20-SEP-2021;SCA;145551203.16;1090781281.27;11989832.381;12.14;12.199;-0.;;EUR;0920174141;;;244212000000;1
IE00BYZ2YD99;DB3012;DB6342;DYNAMIC INTERNATIONAL VALUE OPPORTUNITY;20-SEP-2021;SHC;125785687.10;1090781281.27;10664971.010;11.794;11.867;-0.01;;EUR;0920174141;;;244213000000;1
IE00B6SBTN25;DB3012;DB2381;NEW OPPORTUNITIES COLLECTION;20-SEP-2021;LCA;283922421.98;587940890.18;38141673.962;7.444;7.445;-0.;;EUR;0920152138;;;402740000000;1
IE00B6SF8487;DB3012;DB2381;NEW OPPORTUNITIES COLLECTION;20-SEP-2021;LHC;153529362.16;587940890.18;22775845.158;6.741;6.745;-0.;;EUR;0920152138;;;402741000000;1
IE00B6SCG018;DB3012;DB2381;NEW OPPORTUNITIES COLLECTION;20-SEP-2021;SCA;92955466.31;587940890.18;6479009.056;14.347;14.351;-0.;;EUR;0920152138;;;402742000000;1
IE00B62NM683;DB3012;DB2381;NEW OPPORTUNITIES COLLECTION;20-SEP-2021;SHC;57533639.73;587940890.18;4442121.578;12.952;12.961;-0.;;EUR;0920152138;;;402743000000;1
IE0004460683;DB8810;DB3888;CHALLENGE ENERGY EQUITY EVO;20-SEP-2021;LCA;388128162.31;410066414.13;74274346.915;5.226;5.255;-0.01;;EUR;0920174607;;;52047000000;1
IE0004461095;DB8810;DB3888;CHALLENGE ENERGY EQUITY EVO;20-SEP-2021;SCA;21938251.82;410066414.13;2223405.965;9.867;9.923;-0.01;;EUR;0920174607;;;52046000000;1
IE0030608297;DB8810;DB4221;CHALLENGE SPAIN EQUITY FUND;20-SEP-2021;LCA;58717772.78;68879857.17;8230429.578;7.134;7.088;0.01;;EUR;0920155812;;;90669000000;1
IE0030617926;DB8810;DB4221;CHALLENGE SPAIN EQUITY FUND;20-SEP-2021;SCA;10162084.39;68879857.17;673814.822;15.081;14.985;0.01;;EUR;0920155812;;;91200000000;1
IE0004878520;DB8810;DB8814;CHALLENGE PACIFIC EQUITY FUND;20-SEP-2021;LCA;436085196.42;473537948.33;49896228.322;8.74;8.719;0.;;EUR;0920185241;;;39638000000;1
IE00B608L247;DB8810;DB8814;CHALLENGE PACIFIC EQUITY FUND;20-SEP-2021;LHC;22232453.49;473537948.33;2635772.077;8.435;8.419;0.;;EUR;0920185241;;;618477000000;1
IE0004394114;DB8810;DB8814;CHALLENGE PACIFIC EQUITY FUND;20-SEP-2021;SCA;11049702.06;473537948.33;982951.465;11.241;11.214;0.;;EUR;0920185241;;;52005000000;1
IE00B6085F58;DB8810;DB8814;CHALLENGE PACIFIC EQUITY FUND;20-SEP-2021;SHC;4170596.36;473537948.33;257189.133;16.216;16.186;0.;;EUR;0920185241;;;618489000000;1
IE00B1P83R33;DB8810;DB8825;CHALLENGE PROVIDENT 2 FUND;20-SEP-2021;PD;492077550.68;492077550.68;29846124.168;16.487;16.552;-0.;;EUR;0920135545;;;532425000000;1
LU0073103748;LU4132;LU4136;GAMAX FUNDS JUNIOR;20-SEP-2021;A;190403790.16;1039357938.54;8961410.942;21.25;21.27;-0.;;EUR;0920135235;;;7809000000;1
LU0743996067;LU4132;LU4136;GAMAX FUNDS JUNIOR;20-SEP-2021;I;848954148.38;1039357938.54;30405695.019;27.92;27.95;-0.;;EUR;0920135235;;;422931000000;1
IE00B60DMK45;DB8810;DB5199;CHALLENGE INTERN. INCOME FUND;20-SEP-2021;LCA;72980081.11;245056474.46;14241929.921;5.124;5.121;0.;;EUR;0920125224;;;618481000000;1
IE00B608CJ84;DB8810;DB5199;CHALLENGE INTERN. INCOME FUND;20-SEP-2021;LDI;1528281.25;245056474.46;317495.760;4.814;4.811;0.;;EUR;0920125224;;;618482000000;1
IE0004880591;DB8810;DB5199;CHALLENGE INTERN. INCOME FUND;20-SEP-2021;LHC;161003366.89;245056474.46;26218597.882;6.141;6.142;-0.;;EUR;0920125224;;;137012000000;1
IE0004880609;DB8810;DB5199;CHALLENGE INTERN. INCOME FUND;20-SEP-2021;LHD;862837.58;245056474.46;192361.549;4.485;4.486;-0.;;EUR;0920125224;;;137014000000;1
IE00B603X672;DB8810;DB5199;CHALLENGE INTERN. INCOME FUND;20-SEP-2021;SCA;2769584.84;245056474.46;277208.335;9.991;9.985;0.;;EUR;0920125224;;;618490000000;1
IE00B603Z495;DB8810;DB5199;CHALLENGE INTERN. INCOME FUND;20-SEP-2021;SDI;2743162.59;245056474.46;291853.020;9.399;9.394;0.;;EUR;0920125224;;;618491000000;1
IE0004404913;DB8810;DB5199;CHALLENGE INTERN. INCOME FUND;20-SEP-2021;SHC;1669868.58;245056474.46;156498.738;10.67;10.672;-0.;;EUR;0920125224;;;52018000000;1
IE0004405092;DB8810;DB5199;CHALLENGE INTERN. INCOME FUND;20-SEP-2021;SHD;1499291.62;245056474.46;173281.063;8.652;8.654;-0.;;EUR;0920125224;;;58201000000;1
IE00BJYLJ716;DB3012;DB6501;CHINESE ROAD OPPORTUNITY;20-SEP-2021;LCA;1008045980.02;1008045980.02;156661597.407;6.435;6.356;0.01;;EUR;0920141614;;;264306000000;1
IE0032082988;DB8810;DB4223;CHALLENGE INTERNATIONAL EQUITY;20-SEP-2021;LCA;1283270778.59;1610056412.2;113584142.463;11.298;11.364;-0.01;;EUR;0920164146;;;90667000000;1
